Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Traffic Type,Traffic Subtype
858e51dc486eb0588b629d979f25eff18004760f236492c2e2115e36f77867ef,192.168.1.90,3,192.168.1.3,3,1,01/01/1970 07:41:46 AM,2,3,2,0,0,3,0,1,3,3,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,1,0,3,0,0,,2,,3,2,0,1,0,4,0,2,0,3,0,0,0,2,0,0,0,1,0,2,1,,0.0,,1,1,1,2,0,1,0,3,2,1,4,0,0,0,0,0,0,0,1,0,Audio,Audio
70b2bfbd70d25fa21e7a7ebb4b9bfdb287da033a638f4b6d9a7e6f10b5133da9,192.168.1.3,0,192.168.1.90,3,2,01/01/1970 07:41:46 AM,3,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,2,0,1,3,1,2,0,2,3,2,2,3,1,2,,0,,0,0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,0,0,1,0,0,,0.0,,0,0,0,0,2,2,0,2,1,0,4,0,1,2,2,1,2,0,1,0,Audio,Audio
faadb9f44f86062ce45556d33e5bc9c8acde64d7748f0a71e4e18f55c656d5aa,192.168.1.3,0,192.168.1.90,3,3,01/01/1970 07:41:46 AM,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,2,2,2,,1,0.0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,,,,0,0,1,0,0,1,0,1,2,0,4,0,0,0,0,0,1,0,0,0,Audio,Audio
736f013dd70fc13af96af58ce665aafc1ebcf8174261e5d8a9ec026a3eb28ea6,192.168.1.70,4,192.168.1.3,3,2,01/01/1970 07:41:47 AM,0,3,0,0,0,0,0,1,3,3,0,1,2,0,0,0,0,1,0,3,1,0,0,3,3,0,0,0,2,0,,0,,3,2,0,2,1,4,2,1,0,2,3,1,2,2,0,0,0,1,0,1,0,,,,0,0,1,1,0,1,0,3,2,2,0,0,0,1,0,1,1,0,0,0,Audio,Audio
27679f014ab48b5e96e45cfae7dbd103869944072599b5b7fb22e7a3c6076983,192.168.1.90,4,192.168.1.3,0,4,01/01/1970 07:41:50 AM,0,1,2,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,2,2,1,3,0,0,1,3,2,0,,0,,0,2,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,2,1,0,0,,,,0,2,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Audio,Audio
3a74a9650668deb3f298405a273a6f9b7c37e135e9bcfb3c655bd267bced0617,136.162.16.0,0,255.255.255.1,0,0,01/01/1970 07:42:13 AM,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,0,3,2,3,3,0,0,0,0,1,1,0,,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,3,3,0,3,0,Audio,Audio
e31ad600cef540fc80c6245c120a6dd22d62b5e2eef2182fc2962d6fa2529db7,192.168.1.90,0,192.168.1.3,3,0,01/01/1970 07:42:40 AM,3,3,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,3,0,2,0,0,3,0,1,3,0,0,,0,,3,0,0,1,0,0,0,2,0,1,3,0,2,0,0,2,2,0,0,1,1,,,,0,0,0,2,2,2,1,3,2,2,4,0,0,1,0,0,1,0,0,0,Audio,Audio
736f013dd70fc13af96af58ce665aafc1ebcf8174261e5d8a9ec026a3eb28ea6,192.168.1.70,3,192.168.1.3,3,1,01/01/1970 07:43:47 AM,0,0,1,0,0,0,0,1,0,3,0,1,1,1,0,0,0,1,2,3,0,1,0,2,3,0,0,3,0,2,0.0,0,,0,2,0,0,2,4,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,,,,1,0,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,Audio,Audio
27679f014ab48b5e96e45cfae7dbd103869944072599b5b7fb22e7a3c6076983,192.168.1.90,4,192.168.1.3,3,4,01/01/1970 07:43:50 AM,3,1,2,0,2,0,0,0,2,0,2,0,0,2,1,0,0,2,3,0,2,0,0,1,3,0,2,0,0,1,,0,,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,,,0.0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1,2,0,1,0,Audio,Audio
70b2bfbd70d25fa21e7a7ebb4b9bfdb287da033a638f4b6d9a7e6f10b5133da9,192.168.1.3,4,192.168.1.90,2,2,01/01/1970 07:43:50 AM,0,0,1,0,0,0,0,1,1,2,0,0,1,2,0,1,1,0,1,3,1,1,1,1,3,2,2,3,2,2,,0,,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,,,0,0,0,0,0,0,0,0,1,0,4,2,0,2,2,0,1,1,2,0,Audio,Audio
